"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1096416";"";"None";"366.83";"1";"5.28";"24";"Fc1cc(Cl)ccc1Nc1ncnc2[nH]c(CCc3ccccc3)cc12";"IC50";"'>'";"200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1115599";"Inhibition of VEGFR1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157122";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"200.0"
"CHEMBL208229";"";"None";"419.49";"1";"5.72";"45";"c1ccc(-c2ccc(Nc3nnc(-c4cccnc4CCc4ccncc4)o3)cc2)cc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL864972";"Inhibition of VEGFR1 phosphorylation in presence of 2 uM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146931";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"10.0"
"CHEMBL382797";"";"None";"450.42";"1";"5.56";"14";"FC(F)(F)c1cccc(Nc2nnc(-c3cccnc3CCc3ccc4[nH]ncc4c3)o2)c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL864972";"Inhibition of VEGFR1 phosphorylation in presence of 2 uM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146931";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"10.0"
"CHEMBL205684";"";"None";"468.44";"1";"5.80";"13";"FC(F)(F)c1cccc(Nc2nnc(-c3ccncc3CCCc3ccc4c(c3)OCO4)o2)c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL864972";"Inhibition of VEGFR1 phosphorylation in presence of 2 uM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146931";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"10.0"
"CHEMBL1082829";"";"None";"468.60";"1";"5.58";"7f";"CCCCn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3";"IC50";"'='";"28.0";"nM";"7.55";"";"";"UO_0000065";"16.12";"0.29";"1.97";"12.37";"0";"CHEMBL1119652";"Inhibition of VEGFR1 at 3 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155474";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"28.0"
"CHEMBL1084337";"";"None";"468.60";"1";"5.43";"7g";"CC(C)Cn1c2ccc(C3CCCCO3)cc2c2c3c(c4c(c21)CCc1nn(C)cc1-4)C(=O)NC3";"IC50";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"16.64";"0.30";"2.37";"12.76";"0";"CHEMBL1119652";"Inhibition of VEGFR1 at 3 uM";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155474";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"16.0"
"CHEMBL1164957";"";"None";"419.49";"0";"4.69";"18";"Cc1cccc(-c2[nH]c(Cc3cccc(C(N)=O)c3)nc2-c2ccc3ncccc3c2)n1";"IC50";"'='";"2100.0";"nM";"5.68";"";"";"UO_0000065";"13.53";"0.24";"0.99";"5.82";"0";"CHEMBL1166748";"Inhibition of VEGFR1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1165953";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"2.1"
"CHEMBL483312";"";"None";"397.40";"1";"5.09";"15";"Nc1nc(Nc2cccc(C(F)(F)F)c2)c2cc(CCc3ccccc3)[nH]c2n1";"IC50";"'>'";"200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL957462";"Inhibition of VEGFR1 expressed in human tumor cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150356";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"200.0"
"CHEMBL499344";"";"None";"394.28";"0";"4.64";"Ref 21, 8";"Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccccc3)[nH]c2n1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL957462";"Inhibition of VEGFR1 expressed in human tumor cells";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150356";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"50.0"
"CHEMBL1902627";"CLORPRENALINE";"-1.0";"213.71";"0";"2.37";"CLORPRENALINE";"CC(C)NCC(O)c1ccccc1Cl";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL1388";"MONOBENZONE";"4.0";"200.24";"0";"2.97";"MONOBENZONE";"Oc1ccc(OCc2ccccc2)cc1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL372795";"STREPTOMYCIN";"4.0";"581.58";"3";"-8.16";"Streptomycin";"CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL1612004";"";"None";"123.15";"0";"1.28";"O-ANISIDINE";"COc1ccccc1N";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL54126";"NEOSTIGMINE BROMIDE";"4.0";"303.20";"0";"1.94";"NEOSTIGMINE BROMIDE";"CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-]";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL437369";"";"None";"447.80";"1";"5.79";"8e";"Nc1ncnc2occ(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4Cl)cc3)c12";"IC50";"'='";"186.21";"nM";"6.73";"";"";"UO_0000065";"15.03";"0.30";"0.94";"6.34";"0";"CHEMBL902486";"Inhibition of human VEGFR2 by HTRF method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139135";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"-6.73"
"CHEMBL1807473";"";"None";"482.61";"0";"3.23";"8n";"CCCS(=O)(=O)Nc1cccc(-c2cc(NC(=O)c3ccc(N4CCN(C)CC4)cc3)[nH]n2)c1";"IC50";"'='";"2610.0";"nM";"5.58";"";"";"UO_0000065";"11.57";"0.22";"2.35";"5.06";"0";"CHEMBL1810162";"Inhibition of recombinant GST-tagged VEGFR1 expressed in Sf9 insect cells after 120 mins by Kinase-Glo assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"Sf9";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1806486";"1";"Scientific Literature";"Bioorg Med Chem";"2011";"CHEMBL3308860";"";"";"";"2.61"
"CHEMBL447";"SECOBARBITAL";"4.0";"238.29";"0";"1.35";"SECOBARBITAL";"C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL233825";"";"None";"394.78";"0";"4.45";"45";"O=C(Nc1ccc(C(F)(F)F)c(Cl)c1)c1nccn1CCc1ccncc1";"IC50";"'='";"4560.0";"nM";"5.34";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL897501";"Inhibition of VEGFR1 assessed as inhibition of phosphorylation in presence of 2 uM ATP by HTRF assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148870";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"4.56"
"CHEMBL234010";"";"None";"340.81";"0";"3.73";"35";"Cc1cc(C(=O)Nc2ccc(Cl)cc2)n(CCc2ccncc2)n1";"IC50";"'='";"1220.0";"nM";"5.91";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL897501";"Inhibition of VEGFR1 assessed as inhibition of phosphorylation in presence of 2 uM ATP by HTRF assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148870";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"1.22"
"CHEMBL233823";"";"None";"394.78";"0";"4.45";"32";"O=C(Nc1ccc(C(F)(F)F)c(Cl)c1)c1ccnn1CCc1ccncc1";"IC50";"'='";"980.0";"nM";"6.01";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL897501";"Inhibition of VEGFR1 assessed as inhibition of phosphorylation in presence of 2 uM ATP by HTRF assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148870";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"0.98"
"CHEMBL515914";"AZARIBINE";"4.0";"371.30";"1";"-1.74";"AZARIBINE";"CC(=O)OC[C@H]1O[C@@H](n2ncc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
"CHEMBL234655";"";"None";"565.41";"1";"3.87";"36";"O=C(NCCCN1CCCC1=O)c1cnccc1Nc1nc(-c2cc(Br)ccc2F)nc2nccnc12";"IC50";"'='";"47.0";"nM";"7.33";"";"";"UO_0000065";"12.96";"0.27";"3.46";"5.82";"0";"CHEMBL897422";"Inhibition of human VEGFR1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1148862";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"47.0"
"CHEMBL512380";"";"None";"379.24";"0";"3.76";"31";"O=C(Nc1cccc(Br)c1)c1nscc1NCc1cnoc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1034023";"Inhibition of VEGFR1 assessed as blockade of pGAT-biotin phosphorylation in presence of 2 uM ATP by HTRF assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136839";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";"";"";"10.0"
"CHEMBL425247";"";"None";"506.65";"2";"6.14";"11";"c1ccc(COc2cccc3[nH]nc(-c4nc5cc(N6CCC(N7CCCCC7)CC6)ccc5[nH]4)c23)cc1";"IC50";"'='";"63.0";"nM";"7.20";"";"";"UO_0000065";"14.21";"0.26";"1.06";"9.85";"0";"CHEMBL862849";"Inhibition of VEGFR1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138908";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.063"
"CHEMBL1082948";"";"None";"998.01";"3";"-3.08";"14";"CC(C)C[C@@H]1NC(=O)CNC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccc(O)cc2)NC(=O)CC[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL1118036";"Inhibition of biotinylated VEGF165 binding to human recombinant VEGFR1 extracellular domain by competitive binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155516";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";"";"";""
"CHEMBL379239";"";"None";"361.41";"0";"3.53";"22";"Cc1ccccc1Nc1nnc(-c2c(NCc3ccncc3)ncn2C)o1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL862190";"Inhibition of VEGFR1 by enzymatic assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139649";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"10.0"
"CHEMBL1201012";"FLURANDRENOLIDE";"4.0";"436.52";"0";"2.50";"FLURANDRENOLIDE";"CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)CC[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"0";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";"";"";"";""
